page,index,xref,file,width,height,ext,bytes
1,1,4,page_01_img_01_xref4.jpeg,2680,500,jpeg,196975
1,2,5,page_01_img_02_xref5.jpeg,2680,500,jpeg,265101
1,3,6,page_01_img_03_xref6.jpeg,2680,500,jpeg,224704
1,4,7,page_01_img_04_xref7.jpeg,2680,355,jpeg,87489
2,1,11,page_02_img_01_xref11.jpeg,2681,500,jpeg,144439
2,2,12,page_02_img_02_xref12.jpeg,2681,500,jpeg,188513
2,3,13,page_02_img_03_xref13.jpeg,2681,500,jpeg,190193
2,4,14,page_02_img_04_xref14.jpeg,2681,354,jpeg,137869
3,1,18,page_03_img_01_xref18.jpeg,2681,500,jpeg,129937
3,2,19,page_03_img_02_xref19.jpeg,2681,500,jpeg,142314
3,3,20,page_03_img_03_xref20.jpeg,2681,500,jpeg,67639
3,4,21,page_03_img_04_xref21.jpeg,2681,355,jpeg,24904
4,1,25,page_04_img_01_xref25.jpeg,2680,500,jpeg,125353
4,2,26,page_04_img_02_xref26.jpeg,2680,500,jpeg,167011
4,3,27,page_04_img_03_xref27.jpeg,2680,500,jpeg,143870
4,4,28,page_04_img_04_xref28.jpeg,2680,354,jpeg,71556
5,1,32,page_05_img_01_xref32.jpeg,2680,500,jpeg,163756
5,2,33,page_05_img_02_xref33.jpeg,2680,500,jpeg,180224
5,3,34,page_05_img_03_xref34.jpeg,2680,500,jpeg,174387
5,4,35,page_05_img_04_xref35.jpeg,2680,346,jpeg,51057
6,1,39,page_06_img_01_xref39.jpeg,2684,500,jpeg,120268
6,2,40,page_06_img_02_xref40.jpeg,2684,500,jpeg,203340
6,3,41,page_06_img_03_xref41.jpeg,2684,500,jpeg,139877
6,4,42,page_06_img_04_xref42.jpeg,2684,354,jpeg,88230
7,1,46,page_07_img_01_xref46.jpeg,2684,500,jpeg,157740
7,2,47,page_07_img_02_xref47.jpeg,2684,500,jpeg,136781
7,3,48,page_07_img_03_xref48.jpeg,2684,500,jpeg,76591
7,4,49,page_07_img_04_xref49.jpeg,2684,354,jpeg,34675
8,1,53,page_08_img_01_xref53.jpeg,2680,500,jpeg,114167
8,2,54,page_08_img_02_xref54.jpeg,2680,500,jpeg,251943
8,3,55,page_08_img_03_xref55.jpeg,2680,500,jpeg,224108
8,4,56,page_08_img_04_xref56.jpeg,2680,351,jpeg,88565
9,1,60,page_09_img_01_xref60.jpeg,2680,500,jpeg,140692
9,2,61,page_09_img_02_xref61.jpeg,2680,500,jpeg,135766
9,3,62,page_09_img_03_xref62.jpeg,2680,500,jpeg,204355
9,4,63,page_09_img_04_xref63.jpeg,2680,351,jpeg,57522
10,1,67,page_10_img_01_xref67.jpeg,2684,500,jpeg,151411
10,2,68,page_10_img_02_xref68.jpeg,2684,500,jpeg,205163
10,3,69,page_10_img_03_xref69.jpeg,2684,500,jpeg,167352
10,4,70,page_10_img_04_xref70.jpeg,2684,354,jpeg,88411
11,1,74,page_11_img_01_xref74.jpeg,2684,500,jpeg,175170
11,2,75,page_11_img_02_xref75.jpeg,2684,500,jpeg,220594
11,3,76,page_11_img_03_xref76.jpeg,2684,500,jpeg,173642
